LineItems_category,Item,Action,Spec,Quantity,Rate,Unit
,,Install,,,,
,,,Lining paper,,8,
,,,Wall paper,,12,
,,,,,,
"Painting, staining and varnishing",,,,,,
,Coating to plastered walls,,,,,
,,Install,,,,
,,,Emulsion,,12,
,Coating to plastered ceilings,,,,,
,,Install,,,,
,,,Emulsion,,12,
,Coating to concrete floor,,,,,
,,Install,,,,
,,,Floor paint,,8,
,Coating to wood floor,,,,,
,,Install,,,,
,,,Varnish,,12,
,,,Wax,,14,
,Coating to wood trim,,,,,
,,Install,,,,
,,,Gloss,,18,
,,,Eggshell,,18,
,,,Varnish,,14,
,,,Wood stain,,14,
,Coating to internal door,,,,,
,,Install,,,,
,,,Gloss,,60,
,,,Eggshell,,60,
,,,Varnish,,50,
,,,Wood stain,,50,
,Coating to internal door frame,,,,,
,,Install,,,,
,,,Gloss,,,
,,,Eggshell,,60,
,,,Varnish,,60,
,,,Wood stain,,50,
,Coating to windows internally ,,,,50,
,,Install,,,,
,,,Exterior gloss,,240,
,,,Eggshell,,240,
,,,Varnish,,180,
,,,Wood stain,,180,
,Coating to external door,,,,,
,,Install,,,,
,,,Gloss,,120,
,,,Eggshell,,110,
,,,Varnish,,100,
,,,Wood stain,,100,
,Coating to external door frame,,,,,
,,Install,,,,
,,,Gloss,,60,
,,,Eggshell,,60,
,,,Varnish,,50,
,,,Wood stain,,50,
,Coating to windows externally,,,,,
,,Install,,,,
,,,Exterior gloss,,240,
,,,Eggshell,,240,
,,,Varnish,,180,
,,,Wood stain,,180,
,Coating to fascias and bargeboards,,,,,
,,Install,,,,
,,,Exterior gloss,,18,
,,,Eggshell,,18,
,,,Varnish,,14,
,,,Wood stain,,14,
,Coating to gutters and downpipes ,,,,,
,,Install,,,,
,,,Exterior gloss,,18,
,Coating to external walls,,,,,
,,Install,,,,
,,,Masonry paint ,,12,
,,,,,,
Appliances and fittings,,,,,,
,Curtains,,,,,
,,Install,,,,
,,,Rails,,80,
,,,Poles,,60,
,Fireplace,,,,,
,,Install,,,,
,Built in furniture,,,,,
,,Install,,,,
,,,Bookcase,,800,
,,,Shelves,,180,
,,,Cupboard,,910,
,,,Wardrobe,,1100,
