id,quote_template_id,data,created_at,updated_at
1,1,{},2016-02-11 15:46:39.674682,2016-02-11 15:46:39.674682
3,5,"{""grandTotal"":730,""subTotal"":730,""currentId"":4,""sections"":[{""id"":1,""name"":""Kitchen"",""sectionTotal"":730}],""jobs"":[{""id"":2,""name"":""Strip out kitchen units"",""category"":""Strip out"",""quantity"":5,""unitPrice"":125,""totalPrice"":625,""sectionId"":1},{""id"":3,""name"":""Strip out oven"",""category"":""Strip out"",""quantity"":""1"",""unitPrice"":""60"",""totalPrice"":60,""sectionId"":1},{""id"":4,""name"":""Strip out hob"",""category"":""Strip out"",""quantity"":1,""unitPrice"":45,""totalPrice"":45,""sectionId"":1}],""vat"":0,""showGuaranteeErrors"":false,""guaranteeLength"":null,""insuranceAmount"":null,""startDate"":null,""jobLength"":null,""materials"":[],""activeSectionId"":1}",2016-02-11 15:46:39.9154,2016-02-11 15:46:39.9154
4,3,"{""grandTotal"":900,""subTotal"":900,""currentId"":3,""sections"":[{""id"":1,""name"":""Kitchen"",""sectionTotal"":900}],""jobs"":[{""id"":2,""name"":""Install head units (plm)"",""category"":""Other"",""quantity"":3,""unitPrice"":120,""totalPrice"":360,""sectionId"":1},{""id"":3,""name"":""Install base units (plm)"",""category"":""Other"",""quantity"":3,""unitPrice"":180,""totalPrice"":540,""sectionId"":1}],""vat"":0,""showGuaranteeErrors"":false,""guaranteeLength"":null,""insuranceAmount"":null,""startDate"":null,""jobLength"":null,""materials"":[],""activeSectionId"":1}",2016-02-11 15:46:39.946301,2016-02-11 15:46:39.946301
5,2,"{""grandTotal"":0,""subTotal"":0,""currentId"":3,""sections"":[{""id"":1,""name"":""Bathroom"",""sectionTotal"":0}],""jobs"":[{""id"":2,""name"":""Install shower pump"",""category"":""Other"",""quantity"":1,""unitPrice"":0,""totalPrice"":0,""sectionId"":1}],""vat"":0,""showGuaranteeErrors"":false,""guaranteeLength"":null,""insuranceAmount"":null,""startDate"":null,""jobLength"":null,""materials"":[{""id"":3,""name"":""Shower pump - https://www.google.co.uk/search?q=CT+FORCE+15+TU\u0026oq=CT+FORCE+15+TU\u0026aqs=chrome..69i57j69i60.604j0j4\u0026sourceid=chrome\u0026es_sm=91\u0026ie=UTF-8#q=CT+FORCE+15+TU\u0026tbm=shop"",""supplied"":false,""unitPrice"":null,""quantity"":1,""sectionId"":1}],""activeSectionId"":1}",2016-02-11 15:46:40.00464,2016-02-11 15:46:40.00464
6,6,"{""grandTotal"":0,""subTotal"":0,""currentId"":14,""sections"":[{""id"":1,""name"":""General/Prelims"",""sectionTotal"":0},{""id"":2,""name"":""Bathroom"",""sectionTotal"":0}],""jobs"":[{""id"":3,""name"":""Install bath"",""category"":""Building"",""quantity"":""1"",""unitPrice"":"""",""totalPrice"":0,""sectionId"":2},{""id"":4,""name"":""Install shower in bath"",""category"":""Building"",""quantity"":""1"",""unitPrice"":"""",""totalPrice"":0,""sectionId"":2},{""id"":5,""name"":""Install basin"",""category"":""Building"",""quantity"":""1"",""unitPrice"":"""",""totalPrice"":0,""sectionId"":2},{""id"":6,""name"":""Plumb bath taps and waste"",""category"":""Plumbing"",""quantity"":""1"",""unitPrice"":"""",""totalPrice"":0,""sectionId"":2},{""id"":7,""name"":""Plumb shower"",""category"":""Plumbing"",""quantity"":""1"",""unitPrice"":"""",""totalPrice"":0,""sectionId"":2},{""id"":8,""name"":""Plumb basin"",""category"":""Plumbing"",""quantity"":""1"",""unitPrice"":"""",""totalPrice"":0,""sectionId"":2},{""id"":9,""name"":""Tile walls"",""category"":""Plastering"",""quantity"":""1"",""unitPrice"":"""",""totalPrice"":0,""sectionId"":2},{""id"":10,""name"":""Tile floor"",""category"":""Flooring"",""quantity"":""1"",""unitPrice"":"""",""totalPrice"":0,""sectionId"":2},{""id"":11,""name"":""Plaster walls"",""category"":""Plastering"",""quantity"":"""",""unitPrice"":"""",""totalPrice"":0,""sectionId"":2},{""id"":12,""name"":""Paint walls"",""category"":""Decorating"",""quantity"":""1"",""unitPrice"":"""",""totalPrice"":0,""sectionId"":2},{""id"":13,""name"":""Parking"",""category"":""Strip out"",""quantity"":""1"",""unitPrice"":"""",""totalPrice"":0,""sectionId"":1},{""id"":14,""name"":""Waste"",""category"":"""",""quantity"":""1"",""unitPrice"":"""",""totalPrice"":0,""sectionId"":1}],""vat"":0,""showGuaranteeErrors"":false,""guaranteeLength"":null,""insuranceAmount"":null,""startDate"":null,""jobLength"":null,""materials"":[],""activeSectionId"":1}",2016-02-11 15:46:40.074391,2016-02-11 15:46:40.074391
