Task_search_display_name,Task_quote_dispaly_name,Task_group,Task_category,Task_default_description,Default quanity,task_default_unit,Task_searchable,Task_rate,Dermot,Sandel
Lay laminate,Laminate wood flooring,Flooring,Flooring,,1,m2,Yes,22,,
Lay underlay ,Underlay ,Flooring,Flooring,,1,m2,Yes,6,,
,,,,,,,,,,
Install mega flow tank,Install mega flow tank,Boiler,Plumbing,,1,,Yes,600,,
Install mega flow system and boiler,Install mega flow system and boiler,Boiler,Plumbing,,1,,Yes,1200,,
Install combi boiler,Install combi boiler,Boiler,Plumbing,,1,,Yes,800,,
,,,,,,,,,,
Install freestanding bath,Install freestanding bath,Bath,Plumbing,,1,,Yes,280,,
Install metal bath,Install metal bath,Bath,Plumbing,,1,,Yes,280,,
Install acrylic bath,Install acrylic bath,Bath,Plumbing,,1,,Yes,220,,
,,,,,,,,,,
Paint walls - Contract matt,Walls - contract matt,Paint wall,Decorating,,1,m2,Yes,6,,
Paint walls - Dulux,Walls - Dulux,Paint wall,Decorating,,1,m2,Yes,10,,
Paint walls - Farrow and Ball,Walls - Farrow and Ball,Paint wall,Decorating,,1,m2,Yes,14,,
Paint walls ,Walls ,Paint wall,Decorating,,1,m2,Yes,10,,
,,,,,,,,,,
Paint ceiling - Contract matt,Ceiling - contract matt,Paint wall,Decorating,,1,m2,Yes,6,,
Paint ceiling - Dulux,Ceiling - Dulux,Paint wall,Decorating,,1,m2,Yes,10,,
Paint ceiling - Farrow and Ball,Ceiling - Farrow and Ball,Paint wall,Decorating,,1,m2,Yes,14,,
Paint ceiling ,Ceiling ,Paint wall,Decorating,,1,m2,Yes,10,,
,,,,,,,,,,
Paint skirting,Skirting,Paint woodwork,Decorating,,1,m,Yes,18,,
Paint architrave,Architrave,Paint woodwork,Decorating,,1,m,Yes,18,,
Paint picture rail,Picture rail,Paint woodwork,Decorating,,1,m,Yes,18,,
Paint cornice,Cornice,Paint woodwork,Decorating,,1,m,Yes,18,,
Paint woodwork,Woodwork,Paint woodwork,Decorating,,1,m,Yes,12,,
,,,,,,,,,,
Paint sash window,Paint sash window,Paint window,Decorating,,1,,Yes,280,,
Paint casement window,Paint casement window,Paint window,Decorating,,1,,Yes,200,,
Paint box window,Paint box window,Paint window,Decorating,,1,,Yes,120,,
Paint window,Paint window,Paint window,Decorating,,1,,Yes,200,,
,,,,,,,,,,
Paint interior door,Interior door,Paint door,Decorating,,1,,Yes,100,,
Paint exterior door,Exterior door,Paint door,Decorating,,1,,Yes,140,,
Paint french door,French door,Paint door,Decorating,,1,,Yes,140,,
Paint door,Door,Paint door,Decorating,,1,,Yes,100,,
,,,,,,,,,,
Build wall,Build wall,Build wall,Structural,See spec,1,m2,Yes,47,,
Build wall - breeze block,Build wall - breeze block,Build wall,Structural,See spec,1,m2,Yes,27,,
Build wall -  brick,Build wall -  brick,Build wall,Structural,See spec,1,m2,Yes,47,,
Build cavity wall - brick face,Build cavity wall - brick face,Build wall,Structural,See spec,1,m2,Yes,110,,
Build cavity wall block face ,Build cavity wall block face ,Build wall,Structural,See spec,1,m2,Yes,90,,
Install partition wall,Install partition wall,Build wall,Carpentry,See spec,1,m2,Yes,60,,
,,,,,,,,,,
Install lintel 0 - 1m,Install lintel 0 - 1m,Structural support,Structural,See spec,1,,Yes,280,,
Install lintel 1 - 2m,Install lintel 1 - 2m,Structural support,Structural,See spec,1,,Yes,400,,
Install lintel 2 - 3m,Install lintel 2 - 3m,Structural support,Structural,See spec,1,,Yes,560,,
Install RSJ horizontal,Install RSJ horizontal,Structural support,Structural,See spec,1,,Yes,1000,,
Install RSJ vertical,Install RSJ vertical,Structural support,Structural,See spec,1,,Yes,1000,,
Install RSJ,Install RSJ,Structural support,Structural,See spec,1,,Yes,1000,,
,,,,,,,,,,
Install floor joists,Install floor joists,Joists,Structural,See spec,1,,Yes,155,,
Install ceiling joists,Install ceiling joists,Joists,Structural,See spec,1,,Yes,150,,
,,,,,,,,,,
Internal door frame,Internal door frame,Door frame,Carpentry,,1,,Yes,100,,
External door frame,External door frame,Door frame,Carpentry,,1,,Yes,300,,
Door frame,Door frame,Door frame,Carpentry,,1,,Yes,100,,
,,,,,,,,,,
Plaster walls,Plaster walls,Plaster walls,Decorating,,1,m2,Yes,8,,
Skim walls,Skim walls,Plaster walls,Decorating,,1,m2,Yes,14,,
Render exterior wall,Render exterior wall,Plaster walls,Decorating,,1,,Yes,25,,
,,,,,,,,,,
Plaster ceiling,Plaster ceiling,Plaster walls,Plastering,,1,m2,Yes,8,,
Skim ceiling,Skim ceiling,Plaster walls,Plastering,,1,m2,Yes,14,,
